player_id,nameFirst,nameLast
676572,Eric,Wagaman
677800,Wilyer,Abreu
678246,Miguel,Vargas
680574,Matt,McLain
681481,Kerry,Carpenter
681624,Andy,Pages
686611,Dylan,Crews
686681,Michael,Massey
687363,Victor,Scott II
691016,Tyler,Soderstrom
691023,Jordan,Walker
691176,Jasson,Domínguez
691406,Junior,Caminero
691718,Pete,Crow-Armstrong
692225,Kristian,Campbell
695578,James,Wood
696100,Hunter,Goodman
700242,Trey,Sweeney
700250,Ben,Rice
700932,Kyle,Manzardo
805779,Jacob,Wilson Jr.
808982,Jung Hoo,Lee
